epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.257,2.23993,2.15792,1.25304,0.38355,0.14048,0.11434,0.05371,1.95376,1.53556,1.14482,0.00333095,0.00333095,0.00333095
2,571.928,2.0915,1.59943,1.15909,0.2891,0.22336,0.16052,0.07265,1.92682,1.38868,1.1296,0.00655433,0.00655433,0.00655433
3,850.82,2.09163,1.55208,1.15425,0.26044,0.20914,0.15453,0.06713,1.97171,1.46146,1.13327,0.0096677,0.0096677,0.0096677
4,1123.68,2.07761,1.50552,1.15158,0.3412,0.23859,0.18356,0.07996,1.93471,1.35375,1.12135,0.009505,0.009505,0.009505
5,1400.67,2.04181,1.43476,1.13618,0.33815,0.2577,0.20657,0.09121,1.90224,1.32228,1.11152,0.00934,0.00934,0.00934
6,1677.68,2.04139,1.41541,1.13698,0.35273,0.26911,0.21447,0.09591,1.88177,1.33254,1.09903,0.009175,0.009175,0.009175
7,1950.48,2.01922,1.36632,1.13086,0.33831,0.26568,0.21253,0.09469,1.88439,1.27994,1.10622,0.00901,0.00901,0.00901
8,2224.58,1.99881,1.34071,1.12371,0.39965,0.2917,0.25889,0.11536,1.8506,1.22217,1.09608,0.008845,0.008845,0.008845
9,2500.06,1.98092,1.31867,1.1182,0.4077,0.28906,0.25942,0.11208,1.87906,1.24143,1.09242,0.00868,0.00868,0.00868
10,2776.66,1.97508,1.30919,1.11506,0.40622,0.30087,0.26418,0.11695,1.8391,1.21297,1.08797,0.008515,0.008515,0.008515
11,3050.13,1.96277,1.29258,1.11023,0.43516,0.30951,0.28448,0.12636,1.82686,1.1869,1.0791,0.00835,0.00835,0.00835
12,3328.3,1.95388,1.27184,1.1083,0.42924,0.3095,0.28293,0.12524,1.83326,1.17135,1.07813,0.008185,0.008185,0.008185
13,3603.78,1.93805,1.25417,1.10305,0.45942,0.31402,0.28923,0.13035,1.82235,1.16547,1.07715,0.00802,0.00802,0.00802
14,3881.49,1.93583,1.25241,1.09994,0.45792,0.31467,0.29016,0.13118,1.81755,1.17448,1.0775,0.007855,0.007855,0.007855
15,4158.42,1.92109,1.23434,1.0969,0.44652,0.32118,0.2894,0.13079,1.81378,1.1581,1.07529,0.00769,0.00769,0.00769
16,4434.28,1.93076,1.23141,1.09891,0.44297,0.31814,0.29344,0.13377,1.80059,1.15171,1.07116,0.007525,0.007525,0.007525
17,4709.02,1.91539,1.21249,1.09336,0.47108,0.33111,0.30295,0.13802,1.80206,1.132,1.07272,0.00736,0.00736,0.00736
18,4983.82,1.91382,1.21594,1.0939,0.45107,0.32905,0.30456,0.14007,1.79701,1.12315,1.0702,0.007195,0.007195,0.007195
19,5262.59,1.91447,1.21416,1.09161,0.45653,0.32272,0.3003,0.13732,1.79782,1.12601,1.06804,0.00703,0.00703,0.00703
20,5541.83,1.90135,1.1951,1.09047,0.46663,0.32721,0.30583,0.14026,1.78814,1.11583,1.06582,0.006865,0.006865,0.006865
21,5818.99,1.89363,1.19727,1.08757,0.46626,0.32997,0.31035,0.14084,1.78462,1.12156,1.06382,0.0067,0.0067,0.0067
22,340.526,1.92121,1.25373,1.09662,0.45957,0.33084,0.30618,0.14016,1.79443,1.13358,1.06291,0.006535,0.006535,0.006535
23,679.331,1.926,1.25267,1.097,0.45917,0.32925,0.30621,0.14084,1.79125,1.13437,1.06143,0.00637,0.00637,0.00637
24,1021.55,1.91438,1.24727,1.09459,0.45468,0.33242,0.3126,0.14213,1.79001,1.14187,1.05964,0.006205,0.006205,0.006205
25,1358.75,1.91199,1.24284,1.09373,0.47435,0.33383,0.31651,0.14401,1.78986,1.12822,1.05904,0.00604,0.00604,0.00604
26,1693.4,1.91251,1.22894,1.09185,0.47059,0.33904,0.3161,0.14497,1.78351,1.12222,1.05857,0.005875,0.005875,0.005875
27,2028.78,1.91485,1.23891,1.09591,0.46692,0.33876,0.31375,0.1436,1.782,1.12119,1.05914,0.00571,0.00571,0.00571
28,2365.18,1.89214,1.21829,1.08743,0.48136,0.3377,0.32156,0.14726,1.77677,1.12251,1.05728,0.005545,0.005545,0.005545
29,2705.43,1.90265,1.21666,1.08693,0.47952,0.3387,0.32327,0.14832,1.77701,1.11261,1.0561,0.00538,0.00538,0.00538
30,3041.93,1.89617,1.2146,1.08831,0.48615,0.34381,0.32519,0.14897,1.77331,1.10716,1.05416,0.005215,0.005215,0.005215
31,3379.26,1.89908,1.20845,1.08628,0.48006,0.34285,0.32589,0.14992,1.77212,1.10708,1.05478,0.00505,0.00505,0.00505
32,3718.24,1.88384,1.19369,1.08251,0.49564,0.34195,0.33048,0.15253,1.76764,1.10535,1.05316,0.004885,0.004885,0.004885
33,4053.52,1.88136,1.19822,1.08459,0.48054,0.34321,0.32614,0.15072,1.76502,1.10367,1.05003,0.00472,0.00472,0.00472
34,4386.21,1.8874,1.19681,1.08297,0.49061,0.3429,0.32889,0.15122,1.76619,1.09814,1.0504,0.004555,0.004555,0.004555
35,4719.32,1.87253,1.18602,1.08058,0.49248,0.34383,0.33337,0.15337,1.76512,1.09667,1.05079,0.00439,0.00439,0.00439
36,329.082,1.86548,1.17013,1.07676,0.49555,0.34405,0.33545,0.15395,1.76477,1.09141,1.05073,0.004225,0.004225,0.004225
37,660.963,1.87087,1.17219,1.07717,0.50772,0.3489,0.33872,0.15602,1.76032,1.09256,1.04738,0.00406,0.00406,0.00406
38,988.696,1.8619,1.16996,1.07647,0.49963,0.34836,0.33891,0.1561,1.76344,1.08851,1.0502,0.003895,0.003895,0.003895
39,1316.43,1.85823,1.16588,1.07475,0.50123,0.34974,0.3421,0.15764,1.75965,1.08452,1.04778,0.00373,0.00373,0.00373
40,1644.83,1.86031,1.15788,1.07361,0.50411,0.35111,0.34345,0.15822,1.75675,1.08642,1.04664,0.003565,0.003565,0.003565
41,1972.94,1.86442,1.16505,1.07858,0.50999,0.35159,0.34276,0.15823,1.75718,1.08038,1.04884,0.0034,0.0034,0.0034
42,2300,1.84165,1.14618,1.07066,0.5129,0.35398,0.34737,0.1603,1.75384,1.08218,1.04699,0.003235,0.003235,0.003235
43,2626.52,1.85105,1.14356,1.07039,0.50574,0.35348,0.34526,0.15944,1.75521,1.07879,1.04766,0.00307,0.00307,0.00307
44,2952.81,1.84689,1.14413,1.07166,0.50898,0.35466,0.34632,0.15979,1.75378,1.07584,1.04644,0.002905,0.002905,0.002905
45,3279.97,1.84917,1.14242,1.06922,0.50919,0.35383,0.34529,0.15992,1.7526,1.07554,1.04538,0.00274,0.00274,0.00274
46,3603.99,1.83433,1.1264,1.06509,0.50898,0.35403,0.34597,0.16017,1.75087,1.07561,1.04555,0.002575,0.002575,0.002575
47,3929.09,1.83252,1.12941,1.06824,0.50223,0.35601,0.34636,0.16039,1.74767,1.07231,1.04446,0.00241,0.00241,0.00241
48,4256.16,1.83835,1.12988,1.06725,0.51617,0.3563,0.34918,0.16186,1.74763,1.07124,1.04409,0.002245,0.002245,0.002245
49,4581.61,1.82567,1.12226,1.06532,0.51418,0.35736,0.34999,0.16188,1.74681,1.07152,1.04359,0.00208,0.00208,0.00208
50,4907.18,1.83786,1.13598,1.06825,0.51165,0.35778,0.34939,0.16195,1.74481,1.06984,1.04341,0.001915,0.001915,0.001915
51,5223.02,1.83095,1.17455,1.0766,0.50792,0.35551,0.34705,0.16067,1.74408,1.07531,1.04325,0.00175,0.00175,0.00175
52,5536.77,1.82202,1.16486,1.07428,0.50529,0.35345,0.34448,0.16018,1.74431,1.07606,1.04233,0.001585,0.001585,0.001585
53,5850.32,1.81607,1.15652,1.07387,0.49747,0.35459,0.3446,0.16028,1.74564,1.07525,1.04265,0.00142,0.00142,0.00142
54,6366.45,1.82645,1.1598,1.07122,0.49877,0.35287,0.34338,0.15917,1.74554,1.07529,1.0423,0.001255,0.001255,0.001255
54,674.034,1.81493,1.10577,1.06052,0.5146,0.35491,0.34967,0.16217,1.74443,1.06719,1.0423,0.001255,0.001255,0.001255
55,7043.6,1.8152,1.15474,1.06991,0.5025,0.35329,0.34381,0.15984,1.74392,1.0737,1.0422,0.00109,0.00109,0.00109
55,1349.1,1.81547,1.10091,1.05953,0.51418,0.35975,0.3528,0.16337,1.74351,1.06416,1.04184,0.00109,0.00109,0.00109
56,7713.08,1.80483,1.15212,1.07039,0.50456,0.35243,0.34525,0.16054,1.7434,1.07107,1.04245,0.000925,0.000925,0.000925
56,2024.5,1.80637,1.09934,1.05825,0.5206,0.3593,0.35379,0.16355,1.74425,1.06381,1.04171,0.000925,0.000925,0.000925
57,8387.19,1.80547,1.14439,1.07047,0.50861,0.35234,0.34532,0.16003,1.74491,1.07157,1.04246,0.00076,0.00076,0.00076
57,2704.96,1.80415,1.09577,1.0571,0.51645,0.36166,0.35441,0.164,1.744,1.06248,1.0416,0.00076,0.00076,0.00076
58,9059.4,1.80593,1.13878,1.0681,0.51074,0.35267,0.34592,0.16025,1.74524,1.07139,1.04261,0.000595,0.000595,0.000595
58,3380.37,1.80429,1.09005,1.05572,0.51511,0.36209,0.3541,0.16423,1.74367,1.0622,1.04143,0.000595,0.000595,0.000595
59,9733.21,1.7998,1.12976,1.06606,0.51587,0.34926,0.34643,0.16022,1.74522,1.07173,1.04268,0.00043,0.00043,0.00043
59,4052.34,1.80744,1.09467,1.05942,0.51741,0.35908,0.35377,0.16405,1.74342,1.06305,1.04117,0.00043,0.00043,0.00043
60,10411.7,1.78793,1.12458,1.06556,0.51577,0.34953,0.34708,0.1606,1.74479,1.07214,1.04228,0.000265,0.000265,0.000265
60,4583.83,1.78552,1.07522,1.05245,0.51863,0.35907,0.35335,0.1641,1.74401,1.06265,1.04173,0.000265,0.000265,0.000265
