epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.674,2.17138,2.08787,1.21296,0.63981,0.10968,0.11381,0.05562,1.85661,1.37447,1.08503,0.00333099,0.00333099,0.00333099
2,606.111,2.02616,1.52493,1.12327,0.28631,0.21306,0.17096,0.08104,1.80908,1.33678,1.08716,0.00655436,0.00655436,0.00655436
3,901.627,2.01259,1.47816,1.11493,0.26672,0.23871,0.17859,0.08065,1.82418,1.31074,1.08066,0.00966773,0.00966773,0.00966773
4,1190.09,2.00707,1.40897,1.1153,0.31743,0.24556,0.19687,0.09257,1.77773,1.21939,1.0667,0.009505,0.009505,0.009505
5,1481.16,1.97307,1.34908,1.10337,0.31578,0.24015,0.19274,0.09074,1.77669,1.25956,1.06922,0.00934,0.00934,0.00934
6,1762.9,1.94679,1.30658,1.09595,0.3676,0.2717,0.22606,0.10431,1.77438,1.16298,1.06223,0.009175,0.009175,0.009175
7,2026.68,1.92729,1.27536,1.08907,0.35356,0.26001,0.20972,0.09413,1.80305,1.26313,1.06524,0.00901,0.00901,0.00901
8,2291.93,1.90249,1.23112,1.08211,0.39685,0.29355,0.25504,0.11963,1.73066,1.11757,1.0507,0.008845,0.008845,0.008845
9,2557.88,1.8842,1.21773,1.08119,0.4179,0.30189,0.26906,0.12685,1.71185,1.08539,1.04193,0.00868,0.00868,0.00868
10,2817.54,1.88643,1.21097,1.07767,0.41997,0.29353,0.26233,0.12401,1.71259,1.089,1.04712,0.008515,0.008515,0.008515
11,3073.79,1.87658,1.20029,1.07418,0.40196,0.29352,0.2597,0.12395,1.70655,1.09242,1.04263,0.00835,0.00835,0.00835
12,3332.65,1.86305,1.18262,1.0716,0.44721,0.3088,0.28115,0.13138,1.69653,1.06558,1.03576,0.008185,0.008185,0.008185
13,3590.84,1.8621,1.17681,1.06715,0.42977,0.30797,0.28363,0.13465,1.68715,1.05976,1.03494,0.00802,0.00802,0.00802
14,3848.28,1.8362,1.16141,1.06465,0.42149,0.31345,0.28138,0.13526,1.68271,1.04614,1.03633,0.007855,0.007855,0.007855
15,4106.52,1.84765,1.1593,1.06365,0.44563,0.31276,0.29383,0.14045,1.66713,1.04562,1.0315,0.00769,0.00769,0.00769
16,4367.32,1.83384,1.14375,1.05827,0.43508,0.32499,0.29828,0.13856,1.66528,1.03734,1.02841,0.007525,0.007525,0.007525
17,4626.56,1.83016,1.14161,1.06101,0.4491,0.31939,0.29976,0.14308,1.66457,1.04038,1.03032,0.00736,0.00736,0.00736
18,4888.24,1.82966,1.13283,1.05922,0.4514,0.31665,0.30079,0.14296,1.6521,1.02486,1.0283,0.007195,0.007195,0.007195
19,5145.75,1.81353,1.12231,1.05478,0.47445,0.32054,0.30208,0.14458,1.65091,1.02201,1.02413,0.00703,0.00703,0.00703
20,5405.17,1.80419,1.11832,1.05218,0.45719,0.33243,0.31277,0.14914,1.64207,0.99949,1.02759,0.006865,0.006865,0.006865
21,5660.16,1.8054,1.10812,1.05321,0.46676,0.33053,0.31555,0.14945,1.6412,0.99803,1.02268,0.0067,0.0067,0.0067
22,5913.29,1.79793,1.10359,1.05138,0.46449,0.33208,0.31793,0.14947,1.6407,0.99669,1.02347,0.006535,0.006535,0.006535
23,6167.53,1.79548,1.09752,1.052,0.45386,0.33797,0.31849,0.15203,1.63352,0.9909,1.01977,0.00637,0.00637,0.00637
24,6422.39,1.78686,1.09558,1.04737,0.46491,0.33966,0.32095,0.15355,1.63117,0.98854,1.01788,0.006205,0.006205,0.006205
25,6678.43,1.78374,1.09214,1.04782,0.48343,0.33708,0.3244,0.15682,1.63596,0.98182,1.0216,0.00604,0.00604,0.00604
26,6935.41,1.77255,1.07259,1.04327,0.45693,0.34183,0.32053,0.15278,1.62998,0.98283,1.01849,0.005875,0.005875,0.005875
27,7198.06,1.77969,1.08226,1.04394,0.47968,0.33066,0.31843,0.15243,1.62265,0.98436,1.01591,0.00571,0.00571,0.00571
28,7453.23,1.77202,1.07466,1.04051,0.47618,0.33846,0.32543,0.15885,1.61913,0.97313,1.01611,0.005545,0.005545,0.005545
